,,,"Children aged <5 years stunted (%)","Children aged <5 years stunted (%)","Children aged <5 years stunted (%)"
"Country","Year","Data Source","Both sexes","Female","Male"
"Afghanistan","2004","NLIS_312819","59.3","58.5","60.0"
"Afghanistan","1997","NLIS_311900","53.2","",""
"Albania","2008-2009","NLIS_313062","23.1","23.4","22.8"
"Albania","2005","NLIS_312879","27.0","23.8","29.6"
"Albania","2000","NLIS_312361","39.2","38.1","40.4"
"Albania","1996-1998","NLIS_311954","20.4","",""
"Algeria","2012-2013","NLIS_313261","11.7","10.7","12.6"
"Algeria","2005","NLIS_312965","15.9","15.0","16.7"
"Algeria","2002","NLIS_312644","23.3","21.5","25.1"
"Algeria","2000","NLIS_312226","23.6","22.2","24.9"
"Algeria","1995","NLIS_311651","22.5","22.0","22.9"
"Algeria","1992","NLIS_310750","22.9","22.7","23.1"
"Algeria","1987","NLIS_310371","16.9","",""
"Angola","2007","NLIS_313086","29.2","26.1","32.4"
"Angola","2001","NLIS_312435","50.8","47.3","54.5"
"Angola","1996","NLIS_312083","61.7","60.0","63.4"
"Argentina","2004-2005","NLIS_312769","8.2","8.1","8.2"
"Argentina","1995-1996","NLIS_312103","16.9","",""
"Argentina","1994","NLIS_311469","7.1","",""
"Armenia","2010","NLIS_313117","20.8","19.9","21.7"
"Armenia","2005","NLIS_312785","18.2","17.4","18.8"
"Armenia","2000-2001","NLIS_312344","17.7","17.0","18.2"
"Armenia","1998","NLIS_311865","15.1","15.9","14.5"
"Australia","2007","NLIS_312646","1.8","",""
"Australia","1995-1996","NLIS_311832","0.0","",""
"Azerbaijan","2013","NLIS_313269","18.0","17.7","18.2"
"Azerbaijan","2006","NLIS_312933","26.8","24.9","28.5"
"Azerbaijan","2001","NLIS_312569","18.0","",""
"Azerbaijan","2000","NLIS_312244","24.1","23.8","24.4"
"Azerbaijan","1996","NLIS_311628","28.0","",""
"Bahrain","1995","NLIS_312296","13.6","",""
"Bahrain","1989","NLIS_311511","13.9","",""
"Bangladesh","2014","NLIS_313249","36.1","",""
"Bangladesh","2013","NLIS_313244","38.7","37.8","39.6"
"Bangladesh","2012-2013","NLIS_313229","42.0","",""
"Bangladesh","2011","NLIS_313135","41.4","42.1","40.7"
"Bangladesh","2007","NLIS_312928","43.2","42.6","43.8"
"Bangladesh","2006","NLIS_312878","47.0","46.6","47.4"
"Bangladesh","2005","NLIS_312784","47.8","47.2","48.3"
"Bangladesh","2004","NLIS_312705","50.5","49.6","51.3"
"Bangladesh","2004","NLIS_312849","48.7","48.0","49.5"
"Bangladesh","2003","NLIS_312641","49.8","49.5","50.2"
"Bangladesh","2002","NLIS_312640","53.5","52.1","54.9"
"Bangladesh","2001","NLIS_312413","55.4","54.5","56.1"
"Bangladesh","2000","NLIS_312844","57.2","55.5","58.8"
"Bangladesh","1999-2000","NLIS_312280","50.8","50.7","50.9"
"Bangladesh","1999","NLIS_312104","62.4","60.7","63.9"
"Bangladesh","1998","NLIS_311935","61.8","60.7","62.9"
"Bangladesh","1996-1997","NLIS_311759","59.7","59.5","59.8"
"Bangladesh","1996","NLIS_312839","66.5","66.0","67.0"
"Bangladesh","1995-1996","NLIS_311901","56.7","",""
"Bangladesh","1995","NLIS_312836","68.5","68.5","68.4"
"Bangladesh","1994","NLIS_312835","70.1","69.7","70.5"
"Bangladesh","1993","NLIS_312832","72.1","71.7","72.5"
"Bangladesh","1992","NLIS_311568","68.1","",""
"Bangladesh","1992","NLIS_312831","74.5","74.6","74.4"
"Bangladesh","1991","NLIS_312828","76.7","77.3","76.1"
"Bangladesh","1989-1990","NLIS_310370","63.4","",""
"Bangladesh","1985-1986","NLIS_310369","70.9","",""
"Bangladesh","1982-1983","NLIS_310302","71.1","",""
"Barbados","2012","NLIS_313238","7.7","8.9","8.9"
"Barbados","1981","NLIS_310187","10.2","9.2","11.2"
"Belarus","2005","NLIS_312824","4.5","4.2","4.7"
"Belize","2011","NLIS_313154","19.3","20.0","18.6"
"Belize","2006","NLIS_312881","22.2","20.5","24.0"
"Benin","2014","NLIS_313262","34.0","",""
"Benin","2006","NLIS_312886","44.7","41.6","47.9"
"Benin","2001","NLIS_312357","39.1","37.4","40.9"
"Benin","1996","NLIS_311714","34.5","29.5","39.4"
"Bhutan","2010","NLIS_313077","33.6","33.7","33.6"
"Bhutan","2008","NLIS_312967","34.9","31.8","37.7"
"Bhutan","1999","NLIS_312015","47.7","43.4","52.1"
"Bhutan","1986-1988","NLIS_310374","60.9","",""
"Bolivia (Plurinational State of)","2008","NLIS_312948","27.2","26.2","28.1"
"Bolivia (Plurinational State of)","2003-2004","NLIS_312666","32.5","31.4","33.5"
"Bolivia (Plurinational State of)","1998","NLIS_311911","33.1","31.9","34.3"
"Bolivia (Plurinational State of)","1993-1994","NLIS_311359","35.2","32.9","37.3"
"Bolivia (Plurinational State of)","1989","NLIS_310232","41.7","37.8","45.6"
"Bolivia (Plurinational State of)","1981","NLIS_310156","48.6","",""
"Bosnia and Herzegovina","2011-2012","NLIS_313158","8.9","8.9","8.9"
"Bosnia and Herzegovina","2006","NLIS_312826","11.8","10.7","12.8"
"Bosnia and Herzegovina","2000","NLIS_312362","12.1","11.0","13.2"
"Botswana","2007-2008","NLIS_313092","31.4","28.7","34.0"
"Botswana","2000","NLIS_312353","29.1","26.6","31.6"
"Botswana","1996","NLIS_312018","35.1","",""
"Brazil","2006-2007","NLIS_312870","7.1","5.8","8.3"
"Brazil","1996","NLIS_311680","13.5","11.5","15.4"
"Brazil","1989","NLIS_310234","19.4","17.8","20.9"
"Brunei Darussalam","2009","NLIS_313245","19.7","16.7","22.8"
"Bulgaria","2004","NLIS_312768","8.8","12.0","5.3"
"Burkina Faso","2010","NLIS_313136","35.1","32.8","37.4"
"Burkina Faso","2009","NLIS_313039","35.1","32.0","37.9"
"Burkina Faso","2006","NLIS_312918","42.4","39.4","45.3"
"Burkina Faso","2003","NLIS_312626","43.1","40.9","45.2"
"Burkina Faso","1998-1999","NLIS_312137","45.5","43.9","47.1"
"Burkina Faso","1992-1993","NLIS_310968","40.7","38.8","42.6"
"Burundi","2010-2011","NLIS_313140","57.5","53.1","61.7"
"Burundi","2005","NLIS_313093","57.7","",""
"Burundi","2000","NLIS_312360","63.1","60.8","65.5"
"Burundi","1987","NLIS_310092","51.7","49.1","54.2"
"Cote d'Ivoire","2011-2012","NLIS_313175","29.6","26.4","32.9"
"Cote d'Ivoire","2007","NLIS_313054","39.0","37.8","40.1"
"Cote d'Ivoire","2006","NLIS_312854","40.1","36.6","43.4"
"Cote d'Ivoire","1998-1999","NLIS_312318","31.5","31.3","31.7"
"Cote d'Ivoire","1994","NLIS_311561","31.5","28.7","34.2"
"Cote d'Ivoire","1986","NLIS_310050","22.5","",""
"Cabo Verde","1994","NLIS_311972","21.4","",""
"Cabo Verde","1985","NLIS_310023","31.9","",""
"Cabo Verde","1983","NLIS_310032","23.3","",""
"Cambodia","2014","NLIS_313252","32.4","",""
"Cambodia","2010-2011","NLIS_313097","40.9","39.4","42.3"
"Cambodia","2008","NLIS_312931","39.5","38.1","40.9"
"Cambodia","2005-2006","NLIS_312801","43.7","41.0","46.6"
"Cambodia","2000","NLIS_312312","49.2","48.9","49.6"
"Cambodia","1996","NLIS_312086","58.6","56.1","61.1"
"Cameroon","2014","NLIS_313282","31.7","",""
"Cameroon","2011","NLIS_313130","32.6","30.1","35.3"
"Cameroon","2006","NLIS_312896","36.4","33.7","39.1"
"Cameroon","2004","NLIS_312698","35.4","33.9","36.9"
"Cameroon","1998","NLIS_311928","36.7","33.2","40.3"
"Cameroon","1991","NLIS_310375","36.3","33.8","38.8"
"Canada","1970-1972","NLIS_310189","6.4","6.5","6.4"
"Central African Republic","2010-2011","NLIS_313212","40.7","37.9","43.6"
"Central African Republic","2006","NLIS_313122","45.1","42.5","47.7"
"Central African Republic","2000","NLIS_312729","44.6","42.8","46.4"
"Central African Republic","1995","NLIS_311559","34.6","",""
"Central African Republic","1994-1995","NLIS_311563","40.2","37.0","43.3"
"Chad","2014-2015","NLIS_313279","39.9","38.8","41.0"
"Chad","2010","NLIS_313213","38.7","37.1","40.4"
"Chad","2004","NLIS_312760","44.8","44.3","45.3"
"Chad","2000","NLIS_312359","39.3","37.3","41.3"
"Chad","1996-1997","NLIS_311837","45.0","42.9","47.0"
"Chile","2014","NLIS_313247","1.8","1.6","2.1"
"Chile","2013","NLIS_313206","1.8","1.6","2.0"
"Chile","2008","NLIS_312920","2.0","1.8","2.2"
"Chile","2007","NLIS_312869","2.1","",""
"Chile","2006","NLIS_313084","2.2","",""
"Chile","2004","NLIS_312679","2.4","",""
"Chile","2003","NLIS_312679","2.5","",""
"Chile","2002","NLIS_312453","2.5","",""
"Chile","2001","NLIS_312452","2.8","",""
"Chile","1999","NLIS_312085","3.1","",""
"Chile","1998","NLIS_312084","3.3","",""
"Chile","1996","NLIS_311819","3.7","",""
"Chile","1995","NLIS_311641","3.9","",""
"Chile","1994","NLIS_311278","4.2","",""
"Chile","1986","NLIS_310190","13.5","",""
"Chile","1984","NLIS_310167","13.9","",""
"China","2010","NLIS_313102","9.4","8.9","9.9"
"China","2009","NLIS_313080","12.6","11.8","13.2"
"China","2008","NLIS_313008","13.7","",""
"China","2005","NLIS_313007","11.7","10.7","12.6"
"China","2002","NLIS_312789","21.8","20.8","22.7"
"China","2000","NLIS_313006","17.8","17.1","18.5"
"China","1998","NLIS_313005","19.8","19.3","20.2"
"China","1995","NLIS_313004","31.2","30.3","32.0"
"China","1992","NLIS_311473","38.0","37.1","38.8"
"China","1990","NLIS_313003","32.3","33.3","31.4"
"China","1987","NLIS_310354","38.3","",""
"Colombia","2009-2010","NLIS_313067","12.7","11.6","13.7"
"Colombia","2004-2005","NLIS_312771","16.2","14.7","17.8"
"Colombia","2000","NLIS_312282","18.1","17.1","19.0"
"Colombia","1995","NLIS_311608","19.7","17.2","22.1"
"Colombia","1989","NLIS_310203","21.8","",""
"Colombia","1986","NLIS_310221","25.9","22.7","29.0"
"Colombia","1977-1980","NLIS_310157","28.2","",""
"Colombia","1965-1966","NLIS_310157","38.1","",""
"Comoros","2012","NLIS_313198","32.1","30.2","34.1"
"Comoros","2000","NLIS_312363","46.9","47.3","46.5"
"Comoros","1996","NLIS_311705","41.4","37.7","44.9"
"Comoros","1991-1992","NLIS_311653","39.2","",""
"Congo","2014-2015","NLIS_313280","21.2","",""
"Congo","2011-2012","NLIS_313189","25.0","24.1","25.8"
"Congo","2005","NLIS_312767","31.2","29.0","33.2"
"Congo","1987","NLIS_310091","33.6","",""
"Costa Rica","2008-2009","NLIS_313073","5.6","6.6","4.8"
"Costa Rica","1996","NLIS_311829","9.0","",""
"Costa Rica","1982","NLIS_310168","11.0","",""
"Croatia","1995-1996","NLIS_311678","1.4","",""
"Croatia","1994-1995","NLIS_311678","1.6","",""
"Croatia","1993-1994","NLIS_311678","1.3","",""
"Cuba","2000","NLIS_313029","7.0","",""
"Czech Republic","2001-2002","NLIS_312764","2.6","2.1","3.1"
"Czech Republic","1991","NLIS_311277","3.1","",""
"Democratic People's Republic of Korea","2012","NLIS_313201","27.9","25.8","29.9"
"Democratic People's Republic of Korea","2009","NLIS_313074","32.4","32.4","32.4"
"Democratic People's Republic of Korea","2004","NLIS_312962","43.1","",""
"Democratic People's Republic of Korea","2002","NLIS_312471","44.7","41.9","47.2"
"Democratic People's Republic of Korea","2000","NLIS_312345","51.0","",""
"Democratic People's Republic of Korea","1998","NLIS_311871","63.9","",""
"Democratic Republic of the Congo","2013-2014","NLIS_313236","42.6","40.2","45.0"
"Democratic Republic of the Congo","2010","NLIS_313156","43.5","39.7","47.5"
"Democratic Republic of the Congo","2007","NLIS_312888","45.8","43.3","48.5"
"Democratic Republic of the Congo","2001","NLIS_312393","44.4","41.3","47.5"
"Democratic Republic of the Congo","1995","NLIS_311558","51.0","",""
"Djibouti","2012","NLIS_313126","33.5","33.3","33.8"
"Djibouti","2006","NLIS_312950","32.6","31.0","34.0"
"Djibouti","2002","NLIS_312898","26.5","24.6","28.3"
"Djibouti","1996","NLIS_311936","31.7","",""
"Djibouti","1989","NLIS_310380","28.0","",""
"Dominican Republic","2013","NLIS_313235","7.1","6.1","8.0"
"Dominican Republic","2007","NLIS_312919","10.1","8.9","11.2"
"Dominican Republic","2006","NLIS_313079","10.5","",""
"Dominican Republic","2002","NLIS_312580","11.7","10.1","13.2"
"Dominican Republic","2000","NLIS_312356","8.0","6.5","9.4"
"Dominican Republic","1996","NLIS_311827","13.9","11.3","16.3"
"Dominican Republic","1991","NLIS_310365","21.2","18.2","23.9"
"Dominican Republic","1986","NLIS_310214","22.2","17.7","27.1"
"Ecuador","2012-2013","NLIS_313242","25.2","24.6","25.8"
"Ecuador","2004","NLIS_312782","29.0","27.3","30.5"
"Ecuador","1998","NLIS_312298","32.5","",""
"Ecuador","1986","NLIS_310197","40.2","",""
"Egypt","2014","NLIS_313266","22.3","","23.6"
"Egypt","2008","NLIS_312925","30.7","28.4","33.0"
"Egypt","2005","NLIS_312758","23.8","22.2","25.4"
"Egypt","2003","NLIS_312627","20.3","18.0","22.4"
"Egypt","2000","NLIS_312221","24.6","22.6","26.6"
"Egypt","1998","NLIS_312109","26.3","",""
"Egypt","1997-1998","NLIS_311895","30.9","",""
"Egypt","1995-1996","NLIS_311665","34.9","33.4","36.4"
"Egypt","1992-1993","NLIS_311408","31.3","30.7","31.8"
"Egypt","1991","NLIS_310442","34.9","34.1","35.7"
"Egypt","1988","NLIS_310272","36.6","36.1","37.0"
"Egypt","1978","NLIS_310236","43.8","",""
"El Salvador","2014","NLIS_313287","14.0","",""
"El Salvador","2008","NLIS_313070","20.6","19.8","21.3"
"El Salvador","2002-2003","NLIS_312516","24.6","23.5","25.6"
"El Salvador","1998","NLIS_312101","32.3","31.1","33.4"
"El Salvador","1993","NLIS_311293","29.5","28.7","30.3"
"El Salvador","1988","NLIS_311056","36.7","33.8","39.5"
"El Salvador","1975","NLIS_310169","56.2","",""
"Equatorial Guinea","2010","NLIS_313199","26.2","22.2","30.3"
"Equatorial Guinea","2004","NLIS_312850","35.0","33.8","36.0"
"Equatorial Guinea","2000","NLIS_312757","42.6","39.2","46.0"
"Equatorial Guinea","1997","NLIS_312981","38.7","34.3","43.0"
"Eritrea","2010","NLIS_313226","50.3","49.6","51.2"
"Eritrea","2002","NLIS_312494","43.7","41.8","45.4"
"Eritrea","1995-1996","NLIS_311711","44.4","45.4","43.5"
"Eritrea","1993","NLIS_311627","69.6","",""
"Ethiopia","2014","NLIS_313225","40.4","39.7","41.0"
"Ethiopia","2010-2011","NLIS_313116","44.2","42.2","46.1"
"Ethiopia","2005","NLIS_312762","50.7","49.6","51.8"
"Ethiopia","2000","NLIS_312220","57.4","56.0","58.9"
"Ethiopia","1992","NLIS_310533","68.1","",""
"Fiji","2004","NLIS_313153","7.5","6.9","8.0"
"Fiji","1993","NLIS_311513","4.3","",""
"Gabon","2012","NLIS_313162","17.5","15.1","19.8"
"Gabon","2000-2001","NLIS_312278","26.3","23.6","29.0"
"Gambia","2013","NLIS_313275","25.0","23.8","26.2"
"Gambia","2010","NLIS_313214","23.4","21.3","25.4"
"Gambia","2005-2006","NLIS_312861","27.6","26.6","28.6"
"Gambia","2000","NLIS_312328","24.1","22.1","25.9"
"Gambia","1996","NLIS_311787","36.1","",""
"Georgia","2009","NLIS_313082","11.3","10.2","12.3"
"Georgia","2005","NLIS_312889","14.7","13.5","15.8"
"Georgia","1999","NLIS_312073","16.1","",""
"Germany","2003-2006","NLIS_312939","1.3","1.2","1.5"
"Ghana","2014","NLIS_313248","18.8","",""
"Ghana","2011","NLIS_313215","22.7","20.3","25.3"
"Ghana","2008","NLIS_312963","28.6","26.7","30.5"
"Ghana","2006","NLIS_312883","28.1","26.2","29.8"
"Ghana","2003","NLIS_312628","35.6","32.7","38.5"
"Ghana","1998-1999","NLIS_311995","31.3","28.3","34.4"
"Ghana","1993-1994","NLIS_311422","33.5","29.7","37.2"
"Ghana","1988","NLIS_310426","34.7","32.9","36.5"
"Ghana","1987-1988","NLIS_310051","36.7","",""
"Greece","2003-2004","NLIS_312727","1.5","1.9","1.0"
"Guatemala","2014-2015","NLIS_313278","46.5","45.8","47.1"
"Guatemala","2008-2009","NLIS_312917","48.0","47.3","48.7"
"Guatemala","2002","NLIS_312558","54.3","54.1","54.5"
"Guatemala","2000","NLIS_312562","50.0","",""
"Guatemala","1998-1999","NLIS_312082","53.1","51.5","54.6"
"Guatemala","1995","NLIS_311672","55.4","54.0","56.8"
"Guatemala","1987","NLIS_310427","62.1","60.1","64.2"
"Guinea","2012","NLIS_313194","31.3","30.0","32.4"
"Guinea","2011-2012","NLIS_313160","35.8","33.8","37.7"
"Guinea","2007-2008","NLIS_312954","40.0","38.5","41.5"
"Guinea","2005","NLIS_312759","39.3","36.7","42.0"
"Guinea","2000","NLIS_312264","46.9","",""
"Guinea","1999","NLIS_312138","34.3","32.2","36.3"
"Guinea","1994-1995","NLIS_312008","35.3","",""
"Guinea-Bissau","2014","NLIS_313257","27.6","",""
"Guinea-Bissau","2010","NLIS_313216","32.2","29.9","34.4"
"Guinea-Bissau","2008","NLIS_312955","27.7","26.1","29.3"
"Guinea-Bissau","2006","NLIS_312884","47.7","47.0","48.5"
"Guinea-Bissau","2000","NLIS_312358","36.1","34.5","37.8"
"Guyana","2014","NLIS_313258","12.0","",""
"Guyana","2009","NLIS_313119","19.5","18.6","20.5"
"Guyana","2006-2007","NLIS_312887","18.2","17.4","18.8"
"Guyana","2000","NLIS_312624","13.8","12.6","14.9"
"Guyana","1997","NLIS_312231","14.0","",""
"Guyana","1981","NLIS_310229","26.4","",""
"Guyana","1971","NLIS_310150","29.6","",""
"Haiti","2012","NLIS_313163","21.9","20.3","23.4"
"Haiti","2005-2006","NLIS_312792","29.7","26.5","33.2"
"Haiti","2000","NLIS_312276","28.3","25.7","30.9"
"Haiti","1994-1995","NLIS_311547","37.2","36.6","37.9"
"Haiti","1990","NLIS_311544","40.1","",""
"Haiti","1978","NLIS_310151","45.7","",""
"Honduras","2011-2012","NLIS_313165","22.7","20.9","24.4"
"Honduras","2005-2006","NLIS_312770","29.9","28.3","31.5"
"Honduras","2001","NLIS_312365","34.5","32.6","36.2"
"Honduras","1996","NLIS_311917","43.3","43.7","42.9"
"Honduras","1993-1994","NLIS_311614","45.7","",""
"Honduras","1991-1992","NLIS_311325","42.5","",""
"Honduras","1987","NLIS_310457","43.3","",""
"Hungary","1980-1988","NLIS_311509","3.3","2.4","4.1"
"India","2005-2006","NLIS_312799","47.9","48.0","47.9"
"India","1998-1999","NLIS_312180","51.0","50.9","51.2"
"India","1996-1997","NLIS_311923","48.5","",""
"India","1992-1993","NLIS_311549","57.1","55.7","58.5"
"India","1991-1992","NLIS_310387","65.4","",""
"India","1988-1990","NLIS_310405","66.2","",""
"India","1974-1979","NLIS_310396","75.1","",""
"Indonesia","2013","NLIS_313200","36.4","35.5","37.2"
"Indonesia","2010","NLIS_313124","39.2","37.6","40.8"
"Indonesia","2007","NLIS_312916","40.1","38.8","41.3"
"Indonesia","2004","NLIS_312797","28.6","27.4","29.8"
"Indonesia","2001","NLIS_312794","41.6","40.0","43.2"
"Indonesia","2000","NLIS_312794","42.4","41.0","43.7"
"Indonesia","1995","NLIS_311745","48.1","",""
"Iran (Islamic Republic of)","2004","NLIS_313120","7.1","",""
"Iran (Islamic Republic of)","1998","NLIS_312079","20.4","",""
"Iran (Islamic Republic of)","1995","NLIS_311507","24.4","",""
"Iraq","2011","NLIS_313217","22.6","21.7","23.5"
"Iraq","2006","NLIS_312825","27.5","26.2","28.7"
"Iraq","2004","NLIS_313091","20.0","",""
"Iraq","2003","NLIS_313090","33.7","",""
"Iraq","2000","NLIS_312414","28.3","27.6","28.9"
"Iraq","1991","NLIS_310456","27.6","",""
"Italy","1975-1977","NLIS_310274","4.3","",""
"Jamaica","2012","NLIS_313273","5.7","5.8","5.6"
"Jamaica","2010","NLIS_313129","4.8","3.7","6.0"
"Jamaica","2008","NLIS_313142","5.2","3.5","6.9"
"Jamaica","2007","NLIS_312910","3.8","4.1","3.5"
"Jamaica","2006","NLIS_312909","5.6","5.2","6.0"
"Jamaica","2004","NLIS_312776","4.5","3.5","5.7"
"Jamaica","2002","NLIS_312775","6.6","6.0","7.2"
"Jamaica","2001","NLIS_312774","6.4","3.8","8.9"
"Jamaica","2000","NLIS_312773","6.6","3.3","9.4"
"Jamaica","1999","NLIS_312364","6.3","5.0","7.5"
"Jamaica","1998","NLIS_312317","8.3","7.0","9.6"
"Jamaica","1997","NLIS_312047","8.6","6.6","10.7"
"Jamaica","1996","NLIS_312046","11.1","8.3","13.7"
"Jamaica","1995","NLIS_312045","9.5","6.7","12.2"
"Jamaica","1994","NLIS_311604","11.9","10.0","13.6"
"Jamaica","1993","NLIS_311587","13.5","",""
"Jamaica","1992","NLIS_311586","14.7","",""
"Jamaica","1991","NLIS_311585","9.1","",""
"Jamaica","1989","NLIS_310422","12.4","",""
"Jamaica","1978","NLIS_310212","16.6","",""
"Japan","2010","NLIS_313268","7.1","6.5","7.6"
"Japan","1978-1981","NLIS_310325","8.3","",""
"Jordan","2012","NLIS_313168","7.8","6.2","9.3"
"Jordan","2009","NLIS_313042","8.3","8.7","7.9"
"Jordan","2002","NLIS_312522","12.0","12.1","11.9"
"Jordan","1997","NLIS_311927","11.1","10.4","11.9"
"Jordan","1990","NLIS_310364","20.5","18.9","22.0"
"Kazakhstan","2010-2011","NLIS_313159","13.1","13.0","13.2"
"Kazakhstan","2006","NLIS_312860","17.5","16.9","17.9"
"Kazakhstan","1999","NLIS_312181","13.9","13.5","14.4"
"Kazakhstan","1995","NLIS_311674","19.0","15.4","23.2"
"Kenya","2014","NLIS_313250","26.0","",""
"Kenya","2008-2009","NLIS_313020","35.2","33.1","37.3"
"Kenya","2005-2006","NLIS_313101","40.9","",""
"Kenya","2003","NLIS_312590","35.8","32.1","39.4"
"Kenya","2000","NLIS_312568","41.0","37.4","44.6"
"Kenya","1998","NLIS_311993","37.0","32.7","41.2"
"Kenya","1994","NLIS_311571","39.8","",""
"Kenya","1993","NLIS_311002","40.2","36.7","43.8"
"Kenya","1985-1989","NLIS_310438","38.4","",""
"Kenya","1982","NLIS_310061","44.3","",""
"Kenya","1978-1979","NLIS_310060","41.6","",""
"Kiribati","1985","NLIS_310973","34.4","",""
"Kuwait","2014","NLIS_313254","5.8","4.5","7.3"
"Kuwait","2013","NLIS_313254","4.8","4.6","5.1"
"Kuwait","2012","NLIS_313144","4.3","4.4","4.1"
"Kuwait","2011","NLIS_313144","4.0","3.7","4.4"
"Kuwait","2010","NLIS_313144","4.1","3.6","4.5"
"Kuwait","2009","NLIS_313048","3.8","3.4","4.2"
"Kuwait","2008","NLIS_313048","5.1","5.0","5.2"
"Kuwait","2007","NLIS_313048","5.1","4.3","5.9"
"Kuwait","2006","NLIS_313048","4.6","4.9","4.3"
"Kuwait","2005","NLIS_313010","4.5","3.8","5.1"
"Kuwait","2004","NLIS_313010","4.1","4.2","4.0"
"Kuwait","2003","NLIS_313010","3.9","3.2","4.7"
"Kuwait","2002","NLIS_313010","3.6","2.7","4.4"
"Kuwait","2001","NLIS_313010","4.0","3.4","4.5"
"Kuwait","1996-1997","NLIS_311840","5.0","",""
"Kuwait","1994-1995","NLIS_311859","14.9","",""
"Kuwait","1983-1984","NLIS_310254","16.7","",""
"Kyrgyzstan","2014","NLIS_313239","12.9","",""
"Kyrgyzstan","2012","NLIS_312868","17.8","15.5","19.9"
"Kyrgyzstan","2009","NLIS_313171","22.6","22.1","23.1"
"Kyrgyzstan","2005-2006","NLIS_312827","18.1","17.5","18.7"
"Kyrgyzstan","1997","NLIS_311841","32.6","29.7","35.4"
"Lao People's Democratic Republic","2011-2012","NLIS_313176","43.8","42.1","45.5"
"Lao People's Democratic Republic","2006","NLIS_312921","47.6","46.8","48.3"
"Lao People's Democratic Republic","2000","NLIS_312355","48.2","46.7","49.8"
"Lao People's Democratic Republic","1994","NLIS_311249","52.9","",""
"Lao People's Democratic Republic","1993","NLIS_311522","53.6","",""
"Lebanon","2004","NLIS_312913","16.5","17.0","16.0"
"Lebanon","1996","NLIS_311660","17.2","17.1","17.3"
"Lesotho","2014","NLIS_313251","33.2","",""
"Lesotho","2009-2010","NLIS_313098","39.0","35.0","43.1"
"Lesotho","2004-2005","NLIS_312798","45.2","42.4","48.0"
"Lesotho","2000","NLIS_312366","53.0","51.2","54.8"
"Lesotho","1993","NLIS_311524","37.5","",""
"Lesotho","1992","NLIS_311313","39.2","",""
"Lesotho","1976","NLIS_310101","47.4","",""
"Liberia","2013","NLIS_313233","32.1","29.0","34.8"
