,,,"Children aged <5 years stunted (%)","Children aged <5 years stunted (%)","Children aged <5 years stunted (%)"
"Liberia","2006-2007","NLIS_312873","39.4","36.7","41.9"
"Liberia","1999-2000","NLIS_312437","45.3","41.5","48.9"
"Liberia","1976","NLIS_310005","43.1","",""
"Libya","2007","NLIS_312923","21.0","19.6","22.2"
"Libya","1995","NLIS_311605","21.1","19.3","23.0"
"Libya","1995","NLIS_312858","20.7","",""
"Madagascar","2008-2009","NLIS_313021","49.2","46.7","51.6"
"Madagascar","2003-2004","NLIS_312673","52.8","51.5","54.2"
"Madagascar","1997","NLIS_311864","55.5","51.5","59.5"
"Madagascar","1995","NLIS_311611","55.2","",""
"Madagascar","1993-1994","NLIS_311583","54.1","",""
"Madagascar","1992","NLIS_310878","60.9","57.5","64.1"
"Madagascar","1983-1984","NLIS_310119","40.0","",""
"Malawi","2013-2014","NLIS_313232","42.4","",""
"Malawi","2010","NLIS_313100","47.8","44.1","51.8"
"Malawi","2009","NLIS_313099","48.8","45.6","52.4"
"Malawi","2006","NLIS_312890","53.2","51.1","55.4"
"Malawi","2004-2005","NLIS_312763","52.5","49.9","55.0"
"Malawi","2000","NLIS_312277","54.6","52.7","56.6"
"Malawi","1997-1998","NLIS_312455","63.6","",""
"Malawi","1995","NLIS_311700","53.8","",""
"Malawi","1992","NLIS_311409","55.8","53.5","58.1"
"Malawi","1982","NLIS_310107","61.1","",""
"Malawi","1981","NLIS_310107","61.2","",""
"Malaysia","2006","NLIS_313083","17.2","17.2","17.2"
"Malaysia","1999","NLIS_312549","20.7","",""
"Maldives","2009","NLIS_313063","20.3","19.0","21.6"
"Maldives","2001","NLIS_312548","31.9","31.0","32.6"
"Maldives","1997-1998","NLIS_311999","46.7","41.0","53.5"
"Maldives","1995","NLIS_311778","33.0","",""
"Maldives","1994","NLIS_311569","36.1","35.5","36.6"
"Mali","2006","NLIS_312855","38.5","36.2","40.7"
"Mali","2001","NLIS_312387","42.7","41.5","43.9"
"Mali","1996","NLIS_311831","54.1","",""
"Mali","1995-1996","NLIS_311682","36.2","33.6","39.0"
"Mali","1987","NLIS_310045","32.5","30.7","34.2"
"Mauritania","2012","NLIS_313147","22.0","19.5","24.4"
"Mauritania","2011","NLIS_313218","29.7","28.3","31.2"
"Mauritania","2008","NLIS_312952","23.0","20.0","25.8"
"Mauritania","2007","NLIS_312895","28.9","27.3","30.4"
"Mauritania","2000-2001","NLIS_312319","39.5","38.8","40.2"
"Mauritania","1995-1996","NLIS_311662","49.8","",""
"Mauritania","1990","NLIS_310444","54.8","52.8","56.9"
"Mauritania","1988","NLIS_310443","40.2","",""
"Mauritius","1995","NLIS_311624","13.6","",""
"Mauritius","1985","NLIS_310129","27.3","",""
"Mexico","2011-2012","NLIS_313139","13.6","12.1","15.1"
"Mexico","2006","NLIS_312786","15.5","15.0","16.0"
"Mexico","1998-1999","NLIS_312108","21.7","20.3","23.0"
"Mexico","1996","NLIS_311876","40.1","",""
"Mexico","1989","NLIS_310430","40.4","38.2","42.7"
"Mexico","1988","NLIS_310431","28.7","",""
"Mongolia","2013","NLIS_313231","10.8","",""
"Mongolia","2010","NLIS_313195","15.6","14.7","16.4"
"Mongolia","2005","NLIS_312872","27.5","25.6","29.2"
"Mongolia","2004","NLIS_312755","23.5","19.3","27.1"
"Mongolia","2000","NLIS_312436","29.8","28.1","31.4"
"Mongolia","1999","NLIS_312017","30.1","27.9","32.3"
"Mongolia","1992","NLIS_310500","32.5","",""
"Montenegro","2013","NLIS_313219","9.4","8.4","10.3"
"Montenegro","2005-2006","NLIS_312853","7.9","7.5","8.4"
"Morocco","2010-2011","NLIS_313115","14.9","14.0","15.8"
"Morocco","2003-2004","NLIS_312690","23.1","21.9","24.4"
"Morocco","1996-1997","NLIS_312523","29.0","27.0","30.9"
"Morocco","1992","NLIS_310561","29.9","28.5","31.2"
"Morocco","1987","NLIS_310441","34.5","34.0","35.1"
"Mozambique","2011","NLIS_313146","43.1","41.0","45.3"
"Mozambique","2008","NLIS_313095","43.7","40.7","46.8"
"Mozambique","2003","NLIS_312691","47.0","44.6","49.5"
"Mozambique","2000-2001","NLIS_313089","49.6","",""
"Mozambique","1997","NLIS_311853","45.3","41.2","49.3"
"Mozambique","1995","NLIS_311696","59.9","",""
"Myanmar","2009-2010","NLIS_313123","35.1","33.4","36.7"
"Myanmar","2003","NLIS_312661","40.6","39.7","41.5"
"Myanmar","2000","NLIS_312654","40.8","39.5","42.1"
"Myanmar","1997","NLIS_312024","47.6","",""
"Myanmar","1994","NLIS_311570","50.4","",""
"Myanmar","1991","NLIS_310653","46.0","",""
"Myanmar","1983-1985","NLIS_310298","55.1","",""
"Namibia","2013","NLIS_313243","23.1","20.7","25.6"
"Namibia","2006-2007","NLIS_312874","29.6","27.1","32.0"
"Namibia","2000","NLIS_312557","29.5","28.6","30.3"
"Namibia","1992","NLIS_310471","35.7","32.2","39.3"
"Nauru","2007","NLIS_313065","24.0","",""
"Nepal","2014","NLIS_313288","37.4","",""
"Nepal","2011","NLIS_313114","40.5","39.5","41.3"
"Nepal","2006","NLIS_312791","49.3","49.6","49.1"
"Nepal","2001","NLIS_312336","57.1","57.1","57.1"
"Nepal","1997-1998","NLIS_312189","61.1","59.5","62.6"
"Nepal","1996","NLIS_311706","56.6","56.4","56.8"
"Nepal","1995","NLIS_311581","64.5","",""
"Nepal","1975","NLIS_310282","75.0","75.1","74.9"
"Netherlands","1980","NLIS_310904","1.8","1.1","2.4"
"Nicaragua","2006-2007","NLIS_313071","23.0","21.9","24.0"
"Nicaragua","2003-2005","NLIS_312902","18.8","16.2","21.5"
"Nicaragua","2001","NLIS_312388","25.2","23.8","26.6"
"Nicaragua","1998","NLIS_312433","28.3","27.1","29.5"
"Nicaragua","1997-1998","NLIS_311918","30.5","28.8","32.2"
"Nicaragua","1993","NLIS_311429","29.6","27.8","31.4"
"Nicaragua","1980-1982","NLIS_310161","27.5","",""
"Niger","2012","NLIS_313177","43.0","41.1","44.8"
"Niger","2006","NLIS_312793","54.8","52.6","56.8"
"Niger","2000","NLIS_312191","54.2","51.9","56.2"
"Niger","1998","NLIS_311915","47.0","44.4","49.5"
"Niger","1992","NLIS_310526","48.3","46.2","50.2"
"Niger","1985","NLIS_310047","43.8","",""
"Nigeria","2014","NLIS_313270","32.9","30.8","34.9"
"Nigeria","2013","NLIS_313204","36.4","34.8","38.0"
"Nigeria","2011","NLIS_313157","36.0","35.0","37.0"
"Nigeria","2008","NLIS_312964","41.0","38.8","43.1"
"Nigeria","2007","NLIS_313037","42.8","41.2","44.3"
"Nigeria","2003","NLIS_312589","43.0","40.0","45.9"
"Nigeria","1999","NLIS_312381","39.7","",""
"Nigeria","1993","NLIS_311713","43.8","",""
"Nigeria","1990","NLIS_310377","50.5","49.2","52.0"
"Oman","2014","NLIS_313284","14.1","",""
"Oman","2009","NLIS_313055","9.8","8.5","11.3"
"Oman","1999","NLIS_312375","12.9","11.5","14.2"
"Oman","1994-1995","NLIS_311560","21.4","16.2","26.4"
"Oman","1991","NLIS_310501","26.4","",""
"Pakistan","2012-2013","NLIS_313178","45.0","41.7","48.4"
"Pakistan","2011","NLIS_313113","43.0","42.0","43.8"
"Pakistan","2001","NLIS_312588","41.5","40.8","42.2"
"Pakistan","1990-1994","NLIS_311931","42.7","42.1","43.2"
"Pakistan","1990-1991","NLIS_310537","54.5","52.1","56.7"
"Pakistan","1985-1987","NLIS_311276","62.5","",""
"Pakistan","1977","NLIS_311267","70.5","",""
"Panama","2008","NLIS_313112","19.1","18.9","19.5"
"Panama","2003","NLIS_313111","22.2","",""
"Panama","1997","NLIS_312113","21.5","19.1","23.9"
"Panama","1980","NLIS_310178","24.3","",""
"Papua New Guinea","2009-2011","NLIS_313202","49.5","47.9","50.9"
"Papua New Guinea","2005","NLIS_312912","43.9","39.6","47.4"
"Papua New Guinea","1982-1983","NLIS_310357","50.2","45.9","54.1"
"Paraguay","2011-2012","NLIS_313272","10.9","10.4","11.4"
"Paraguay","2005","NLIS_313085","17.5","",""
"Paraguay","1990","NLIS_310233","18.3","16.3","20.2"
"Peru","2014","NLIS_313281","14.6","13.4","15.7"
"Peru","2012","NLIS_313193","18.4","17.9","18.8"
"Peru","2011","NLIS_313192","19.6","19.0","20.1"
"Peru","2010","NLIS_313191","23.3","21.5","25.1"
"Peru","2009","NLIS_313190","23.9","23.0","24.8"
"Peru","2007-2008","NLIS_313023","28.2","25.9","30.5"
"Peru","2005","NLIS_312932","29.8","26.3","33.2"
"Peru","2000","NLIS_312320","31.3","30.1","32.5"
"Peru","1996","NLIS_311757","31.6","30.3","32.9"
"Peru","1991-1992","NLIS_310363","37.3","35.5","39.1"
"Peru","1984","NLIS_310218","43.9","",""
"Philippines","2013-2014","NLIS_313277","30.3","29.1","31.5"
"Philippines","2011","NLIS_313143","33.6","32.2","34.9"
"Philippines","2008","NLIS_313072","32.3","31.1","33.5"
"Philippines","2003","NLIS_312772","33.8","31.9","35.5"
"Philippines","1998","NLIS_312176","38.3","",""
"Philippines","1993","NLIS_311510","38.9","",""
"Philippines","1992","NLIS_311346","40.9","",""
"Philippines","1989-1990","NLIS_310416","43.3","",""
"Philippines","1987","NLIS_310417","44.7","",""
"Philippines","1982","NLIS_310338","48.7","",""
"Philippines","1971-1975","NLIS_310318","60.2","",""
"Qatar","1995","NLIS_311525","11.6","",""
"Republic of Korea","2008-2011","NLIS_313179","2.5","2.7","2.4"
"Republic of Korea","2003","NLIS_312966","2.5","2.5","2.4"
"Republic of Moldova","2012","NLIS_313241","6.4","7.0","5.8"
"Republic of Moldova","2005","NLIS_312788","11.3","11.5","11.0"
"Romania","2002","NLIS_312477","12.8","11.1","14.4"
"Romania","2001","NLIS_312477","14.0","11.7","16.1"
"Romania","2000","NLIS_312477","12.8","10.8","14.8"
"Romania","1999","NLIS_312477","15.3","12.8","17.6"
"Romania","1991","NLIS_310558","11.2","",""
"Rwanda","2010-2011","NLIS_313121","44.3","41.1","47.4"
"Rwanda","2005","NLIS_312800","51.7","50.3","53.1"
"Rwanda","2000","NLIS_312321","48.3","45.9","50.8"
"Rwanda","2000","NLIS_313075","46.8","",""
"Rwanda","1996","NLIS_312016","47.8","",""
"Rwanda","1992","NLIS_310967","56.8","54.2","59.4"
"Rwanda","1976","NLIS_310062","42.8","",""
"Saint Lucia","2012","NLIS_313209","2.5","",""
"Saint Lucia","1976","NLIS_310196","15.0","",""
"Samoa","1999","NLIS_312514","6.4","",""
"Sao Tome and Principe","2014","NLIS_313285","17.2","",""
"Sao Tome and Principe","2008-2009","NLIS_312946","31.6","32.0","31.2"
"Sao Tome and Principe","2006","NLIS_313087","28.9","",""
"Sao Tome and Principe","2000","NLIS_312394","35.2","31.7","39.0"
"Sao Tome and Principe","1986","NLIS_310132","32.0","",""
"Saudi Arabia","2004-2005","NLIS_312809","9.3","7.8","10.8"
"Saudi Arabia","1994","NLIS_312613","21.4","",""
"Senegal","2014","NLIS_313265","19.4","17.8","20.9"
"Senegal","2012-2013","NLIS_313205","19.2","17.4","20.9"
"Senegal","2012","NLIS_313141","15.5","13.5","17.3"
"Senegal","2010-2011","NLIS_313118","28.7","30.6","29.7"
"Senegal","2005","NLIS_312765","20.1","18.8","21.3"
"Senegal","2000","NLIS_312368","29.5","26.7","32.3"
"Senegal","1996","NLIS_311782","28.8","",""
"Senegal","1992-1993","NLIS_310998","33.7","31.4","36.0"
"Senegal","1991-1992","NLIS_310551","35.3","",""
"Senegal","1986","NLIS_310044","27.9","24.8","31.0"
"Serbia","2014","NLIS_313230","6.0","",""
"Serbia","2010","NLIS_313155","6.6","7.2","5.9"
"Serbia","2005-2006","NLIS_312851","8.1","8.0","8.2"
"Seychelles","2012","NLIS_313223","7.9","",""
"Seychelles","1987-1988","NLIS_310139","7.7","",""
"Sierra Leone","2013","NLIS_313234","37.9","36.8","39.0"
"Sierra Leone","2010","NLIS_313134","44.9","42.3","47.5"
"Sierra Leone","2010","NLIS_313149","32.6","29.1","36.2"
"Sierra Leone","2008","NLIS_312971","37.4","35.4","39.5"
"Sierra Leone","2005","NLIS_312867","46.9","44.9","49.0"
"Sierra Leone","2000","NLIS_312367","38.4","35.1","41.6"
"Sierra Leone","1990","NLIS_310583","40.9","",""
"Sierra Leone","1989","NLIS_310583","41.4","",""
"Sierra Leone","1977-1978","NLIS_310013","48.7","",""
"Sierra Leone","1974-1975","NLIS_310007","40.3","",""
"Singapore","2000","NLIS_312536","4.4","3.9","4.9"
"Singapore","1970-1977","NLIS_310319","10.7","9.4","11.9"
"Solomon Islands","2006-2007","NLIS_312947","32.8","",""
"Solomon Islands","1989","NLIS_311609","33.7","31.7","35.5"
"Solomon Islands","1970","NLIS_310320","31.3","32.8","30.1"
"Somalia","2009","NLIS_313274","25.3","22.7","27.7"
"Somalia","2006","NLIS_312852","42.1","41.3","42.7"
"Somalia","2000","NLIS_312219","29.2","",""
"South Africa","2008","NLIS_313051","23.9","",""
"South Africa","2003-2004","NLIS_313106","32.8","30.5","35.2"
"South Africa","1999","NLIS_312266","30.9","",""
"South Africa","1994-1995","NLIS_311520","28.7","",""
"South Africa","1993-1994","NLIS_311502","31.5","",""
"South Sudan","2010","NLIS_313224","31.1","28.9","33.1"
"South Sudan","2006","NLIS_313150","36.2","32.9","39.3"
"Sri Lanka","2012","NLIS_313196","14.7","14.6","14.8"
"Sri Lanka","2009","NLIS_312989","19.2","18.7","19.8"
"Sri Lanka","2006-2007","NLIS_312922","17.3","16.5","18.1"
"Sri Lanka","2000","NLIS_312634","18.4","19.9","17.0"
"Sri Lanka","1995","NLIS_311986","26.1","",""
"Sri Lanka","1993","NLIS_311548","29.7","",""
"Sri Lanka","1987","NLIS_310303","31.2","30.5","31.7"
"Sri Lanka","1977-1978","NLIS_310619","50.4","",""
"Sudan","2014","NLIS_313259","38.2","",""
"Sudan","2006","NLIS_312911","37.9","35.8","39.8"
"Sudan","2006","NLIS_313151","38.3","36.6","40.0"
"Sudan","2000","NLIS_312369","47.6","46.8","48.4"
"Sudan","1992-1993","NLIS_311006","38.6","37.9","39.3"
"Suriname","2010","NLIS_313152","8.8","7.7","9.9"
"Suriname","2006","NLIS_313040","10.7","9.8","11.6"
"Suriname","1999-2000","NLIS_312352","14.5","11.8","17.0"
"Swaziland","2014","NLIS_313289","25.5","",""
"Swaziland","2010","NLIS_313145","31.0","28.1","34.1"
"Swaziland","2008","NLIS_313088","40.4","",""
"Swaziland","2006-2007","NLIS_312894","29.5","26.1","33.0"
"Swaziland","2000","NLIS_312370","36.6","34.1","38.9"
"Swaziland","1983-1984","NLIS_310124","36.5","",""
"Syrian Arab Republic","2009","NLIS_313068","27.5","26.5","28.4"
"Syrian Arab Republic","2006","NLIS_312880","28.6","27.0","30.1"
"Syrian Arab Republic","2001","NLIS_312875","31.1","29.3","32.9"
"Syrian Arab Republic","2000","NLIS_312386","24.3","",""
"Syrian Arab Republic","1995","NLIS_311789","26.5","",""
"Syrian Arab Republic","1993","NLIS_311508","32.9","31.2","34.5"
"Tajikistan","2012","NLIS_313164","26.8","26.8","26.7"
"Tajikistan","2009","NLIS_313170","28.8","26.7","30.8"
"Tajikistan","2007","NLIS_313069","39.2","37.2","41.1"
"Tajikistan","2005","NLIS_312862","33.1","30.7","35.4"
"Tajikistan","2003","NLIS_312551","42.4","",""
"Tajikistan","2002","NLIS_312383","37.1","",""
"Tajikistan","2001","NLIS_312555","43.2","",""
"Tajikistan","2000","NLIS_312554","42.1","",""
"Tajikistan","1999","NLIS_312553","41.5","",""
"Thailand","2012","NLIS_313207","16.3","16.3","16.4"
"Thailand","2005-2006","NLIS_312481","15.7","15.0","16.5"
"Thailand","1995","NLIS_312178","18.1","",""
"Thailand","1993","NLIS_312010","21.1","",""
"Thailand","1987","NLIS_310309","25.3","23.4","27.3"
"The former Yugoslav republic of Macedonia","2011","NLIS_313210","4.9","4.3","5.6"
"The former Yugoslav republic of Macedonia","2010-2011","NLIS_313138","10.5","10.0","11.0"
"The former Yugoslav republic of Macedonia","2005","NLIS_312866","11.5","9.2","13.5"
"The former Yugoslav republic of Macedonia","2004","NLIS_312756","1.2","0.9","1.4"
"The former Yugoslav republic of Macedonia","1999","NLIS_311998","8.0","6.3","9.6"
"Timor-Leste","2013","NLIS_313286","50.2","47.2","53.1"
"Timor-Leste","2009-2010","NLIS_313066","57.7","55.6","59.8"
"Timor-Leste","2007-2008","NLIS_313109","53.9","51.5","56.3"
"Timor-Leste","2003","NLIS_312662","54.8","",""
"Timor-Leste","2002","NLIS_312529","55.7","52.9","58.4"
"Togo","2013-2014","NLIS_313264","27.5","26.9","28.1"
"Togo","2010","NLIS_313148","29.8","27.8","31.6"
"Togo","2008","NLIS_312956","26.9","25.2","28.4"
"Togo","2006","NLIS_312882","27.8","24.9","30.7"
"Togo","1998","NLIS_311929","29.8","25.6","34.3"
"Togo","1996","NLIS_311781","40.2","",""
"Togo","1988","NLIS_310439","36.6","32.8","40.4"
"Togo","1988","NLIS_310440","39.8","",""
"Togo","1976-1977","NLIS_310009","39.9","",""
"Tonga","2012","NLIS_313255","8.1","","9.1 9.1"
"Tonga","1986","NLIS_311625","2.2","",""
"Trinidad and Tobago","2000","NLIS_312526","5.3","3.5","7.0"
"Trinidad and Tobago","1987","NLIS_310222","5.7","5.2","6.3"
"Trinidad and Tobago","1976","NLIS_310154","16.9","",""
"Tunisia","2011-2012","NLIS_313208","10.1","8.8","11.3"
"Tunisia","2006","NLIS_312924","9.0","8.0","9.9"
"Tunisia","2000","NLIS_312373","16.8","",""
"Tunisia","1996-1997","NLIS_311969","11.9","",""
"Tunisia","1994-1995","NLIS_311539","30.9","30.9","30.9"
"Tunisia","1988","NLIS_310702","20.3","19.7","20.9"
"Tunisia","1973-1975","NLIS_310240","41.8","44.2","39.6"
"Turkey","2013-2014","NLIS_313227","9.5","8.0","10.9"
"Turkey","2008","NLIS_313203","12.3","",""
"Turkey","2003-2004","NLIS_312781","15.6","16.6","14.7"
"Turkey","1998","NLIS_311996","19.1","18.8","19.5"
"Turkey","1993","NLIS_311387","24.1","23.0","25.1"
"Turkmenistan","2006","NLIS_313283","18.9","17.0","20.7"
"Turkmenistan","2000","NLIS_312304","28.1","",""
"Tuvalu","2007","NLIS_312945","10.0","",""
"Uganda","2011","NLIS_313131","33.7","30.1","37.3"
"Uganda","2006","NLIS_312885","38.7","36.1","41.2"
"Uganda","2000-2001","NLIS_312313","44.8","42.1","47.5"
"Uganda","1995","NLIS_311648","45.0","41.6","48.5"
"Uganda","1988-1989","NLIS_310095","47.6","43.8","51.6"
"Ukraine","2002","NLIS_312682","4.3","",""
"Ukraine","2000","NLIS_312288","22.9","22.8","22.9"
"United Kingdom of Great Britain and Northern Ireland","1973-1979","NLIS_310277","3.9","",""
"United Republic of Tanzania","2010-2011","NLIS_313167","34.8","34.2","35.3"
"United Republic of Tanzania","2009-2010","NLIS_313076","42.5","39.2","45.9"
"United Republic of Tanzania","2008-2009","NLIS_313167","43.0","40.7","45.6"
"United Republic of Tanzania","2004-2005","NLIS_312766","44.4","41.8","47.1"
"United Republic of Tanzania","1999","NLIS_312182","48.3","45.5","51.0"
"United Republic of Tanzania","1996","NLIS_311752","49.7","46.7","52.5"
"United Republic of Tanzania","1991-1992","NLIS_310473","49.7","47.0","52.5"
"United States of America","2011-2012","NLIS_313188","2.1","1.2","3.0"
"United States of America","2007-2010","NLIS_313186","2.7","2.2","3.2"
"United States of America","2003-2006","NLIS_313183","3.2","2.4","3.9"
"United States of America","1999-2004","NLIS_312859","3.9","3.2","4.5"
"United States of America","1999-2002","NLIS_312606","3.3","2.4","4.1"
"United States of America","1988-1994","NLIS_311766","3.2","3.1","3.3"
"United States of America","1963-1975","NLIS_310165","3.7","",""
"Uruguay","2011","NLIS_313127","11.7","10.3","13.2"
"Uruguay","2007","NLIS_313127","11.8","10.2","13.4"
"Uruguay","2004","NLIS_312777","13.9","11.7","16.1"
"Uruguay","2003","NLIS_313127","17.2","14.9","19.4"
"Uruguay","2002","NLIS_312778","14.7","13.5","15.8"
"Uruguay","1999","NLIS_313127","13.9","11.9","15.9"
"Uruguay","1987","NLIS_310198","21.0","",""
"Uzbekistan","2006","NLIS_312783","19.6","19.7","19.5"
"Uzbekistan","2002","NLIS_312629","25.3","24.3","26.2"
"Uzbekistan","1996","NLIS_311758","39.0","34.7","43.2"
"Vanuatu","2013","NLIS_313253","28.5","",""
"Vanuatu","2007","NLIS_313028","25.9","20.0","31.2"
"Vanuatu","1996","NLIS_312491","25.7","",""
"Vanuatu","1983","NLIS_310337","24.6","",""
"Venezuela (Bolivarian Republic of)","2009","NLIS_313128","13.4","",""
"Venezuela (Bolivarian Republic of)","2008","NLIS_313128","14.6","",""
"Venezuela (Bolivarian Republic of)","2007","NLIS_313024","15.6","",""
"Venezuela (Bolivarian Republic of)","2006","NLIS_313128","16.2","",""
"Venezuela (Bolivarian Republic of)","2005","NLIS_313128","16.2","",""
"Venezuela (Bolivarian Republic of)","2004","NLIS_313128","17.1","",""
"Venezuela (Bolivarian Republic of)","2003","NLIS_313128","17.7","",""
"Venezuela (Bolivarian Republic of)","2002","NLIS_313128","17.6","",""
"Venezuela (Bolivarian Republic of)","2001","NLIS_313128","17.3","",""
"Venezuela (Bolivarian Republic of)","2000","NLIS_312247","17.4","",""
"Venezuela (Bolivarian Republic of)","1999","NLIS_312149","18.3","",""
"Venezuela (Bolivarian Republic of)","1998","NLIS_312020","19.2","",""
"Venezuela (Bolivarian Republic of)","1997","NLIS_311854","19.9","",""
"Venezuela (Bolivarian Republic of)","1996","NLIS_311854","19.3","",""
"Venezuela (Bolivarian Republic of)","1995","NLIS_311854","18.9","",""
"Venezuela (Bolivarian Republic of)","1994","NLIS_311616","17.9","",""
"Venezuela (Bolivarian Republic of)","1993","NLIS_311562","17.4","",""
"Venezuela (Bolivarian Republic of)","1992","NLIS_311562","18.3","",""
"Venezuela (Bolivarian Republic of)","1991","NLIS_311562","18.2","",""
"Venezuela (Bolivarian Republic of)","1990","NLIS_311562","18.6","",""
"Venezuela (Bolivarian Republic of)","1987","NLIS_311550","7.0","",""
"Venezuela (Bolivarian Republic of)","1981-1982","NLIS_310192","9.4","",""
"Viet Nam","2013","NLIS_313256","19.4","",""
"Viet Nam","2010-2011","NLIS_313133","23.3","23.2","23.4"
"Viet Nam","2009-2010","NLIS_313169","29.3","27.1","31.5"
"Viet Nam","2008","NLIS_312951","30.5","29.0","31.9"
"Viet Nam","2007","NLIS_312951","32.2","30.4","33.9"
"Viet Nam","2006","NLIS_312857","35.8","",""
"Viet Nam","2006","NLIS_312951","31.8","30.5","33.1"
"Viet Nam","2005","NLIS_312951","33.2","31.5","34.7"
"Viet Nam","2004","NLIS_312951","33.7","32.0","35.4"
"Viet Nam","2003","NLIS_312951","35.4","33.7","36.9"
"Viet Nam","2002","NLIS_312951","37.5","36.2","38.8"
"Viet Nam","2000","NLIS_312248","42.7","",""
"Viet Nam","2000","NLIS_312780","43.4","42.5","44.2"
"Viet Nam","2000","NLIS_312951","42.8","39.5","45.0"
"Viet Nam","1999","NLIS_311997","44.8","",""
"Viet Nam","1999","NLIS_312951","43.7","42.0","45.4"
"Viet Nam","1998","NLIS_311897","42.1","",""
"Viet Nam","1994","NLIS_311443","52.5","",""
"Viet Nam","1992-1993","NLIS_311591","61.4","61.5","61.4"
"Viet Nam","1987-1989","NLIS_310349","61.3","",""
"Viet Nam","1983-1984","NLIS_310336","64.1","",""
"Yemen","2013","NLIS_313276","46.8","45.6","47.9"
"Yemen","2011","NLIS_313174","46.6","46.2","47.0"
"Yemen","2003","NLIS_312891","57.7","56.9","58.5"
"Yemen","1997","NLIS_311785","59.3","58.3","60.3"
"Yemen","1996","NLIS_311777","50.4","",""
"Yemen","1991-1992","NLIS_310689","52.4","57.1","46.5"
"Zambia","2013-2014","NLIS_313263","40.0","37.7","42.3"
"Zambia","2007","NLIS_312893","45.8","42.9","48.8"
"Zambia","2001-2002","NLIS_312490","52.5","50.9","54.1"
"Zambia","1999","NLIS_312915","57.9","55.7","59.9"
"Zambia","1996-1997","NLIS_311756","48.6","47.2","50.0"
"Zambia","1995","NLIS_313081","58.1","",""
"Zambia","1992","NLIS_310414","46.4","43.3","49.7"
"Zimbabwe","2014","NLIS_313228","27.6","24.1","31.1"
"Zimbabwe","2010-2011","NLIS_313110","32.3","28.7","36.0"
"Zimbabwe","2009","NLIS_313221","35.1","32.3","37.8"
"Zimbabwe","2005-2006","NLIS_312790","35.8","33.1","38.6"
"Zimbabwe","1999","NLIS_312197","33.7","31.7","35.6"
"Zimbabwe","1994","NLIS_311474","28.9","26.4","31.6"
"Zimbabwe","1988","NLIS_310138","31.0","28.8","33.1"
