ISO_country,1983,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AFG,,,,,,,,,,,,,,53.2,,,,,,,59.3,,,,,,,,,40.9,,
AGO,,,,,,,,,,,,,61.7,,,,,,,,,,,29.2,,,,,,,,
ALB,,,,,,,,,,,,,,20.4,,,39.2,,,,,27.0,,,,23.1,,,,,,
ARG,,,,,,,,,,,7.1,,16.9,,,,,,,,,8.2,,,,,,,,,,
ARM,,,,,,,,,,,,,,,15.1,,17.7,,,,,18.2,,,,,20.8,,,,,
AUS,,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,
AZE,,,,,,,,,,,,,28.0,,,,24.1,18.0,,,,,26.8,,,,,,,18.0,,
BDI,,,,56.2,,,,,,,,,,,,,63.1,,,,,57.7,,,,,57.5,,,,,
BEN,,,,,,,,,,,,,39.1,,,,,39.1,,,,,44.7,,,,,,,,34.0,
BFA,,,,,,,,,,40.7,,,,,,45.5,,,,43.1,,,42.4,,,35.1,35.1,34.1,32.9,,,
BGD,,,70.9,,,,63.4,73.6,71.5,69.2,67.3,65.8,63.8,59.7,59.3,59.9,50.8,53.2,51.4,47.8,50.5,45.9,45.1,43.2,,,,41.4,42.0,38.7,36.1,
BGR,,,,,,,,,,,,,,,,,,,,,8.8,,,,,,,,,,,
BHR,,,,,,13.9,,,,,,13.6,,,,,,,,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,,,,12.1,,,,,,11.8,,,,,,8.9,,,
BLR,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,
BLZ,,,,,,,,,,,,,,,,,,,,,,,22.2,,,,,19.3,,,,
BOL,,,,,,44.0,,,,,37.1,,,,33.1,,,,,32.5,,,,,27.2,,,,18.1,,,
BRA,,,,,,19.4,,,,,,,13.5,,,,,,,,,,,7.1,,,,,,,,
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,,,,,
BTN,,,,60.9,,,,,,,,,,,,47.7,,,,,,,,,34.9,,33.6,,,,,
BWA,,,,,,,,,,,,,35.1,,,,29.1,,,,,,,31.4,,,,,,,,
CAF,,,,,,,,,,,41.5,,,,,,44.6,,,,,,45.1,,,,40.7,,,,,
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,,13.5,,,,,,,,4.2,3.9,3.7,,3.3,3.1,,2.8,2.5,2.5,2.4,,2.2,2.1,2.0,,,,,1.8,1.8,
CHN,,,,38.3,,,32.3,,38.0,,,31.2,,,19.8,,17.8,,21.8,,,11.7,,,9.8,9.0,9.4,,,,,
CIV,,,22.5,,,,,,,,34.2,,,,31.5,,,,,,,,40.1,39.0,,,,,29.6,,,
CMR,,,,,,,,36.3,,,,,,,38.2,,,,,,35.4,,36.4,,,,,32.6,,,,
COD,,,,,,,,,,,,51.0,,,,,,44.4,,,,,,45.8,,,43.5,,,42.6,,
COG,,,,30.1,,,,,,,,,,,,,,,,,,31.2,,,,,,25.0,,,,
COL,,,26.6,,,21.8,,,,,,19.7,,,,,18.1,,,,,16.2,,,,,12.7,,,,,
COM,,,,,,,,,38.5,,,,40.0,,,,46.9,,,,,,,,,,,,32.1,,,
CPV,,26.8,,,,,,,,,21.4,,,,,,,,,,,,,,,,,,,,,
CRI,,,,,,,,,,,,,8.2,,,,,,,,,,,,5.6,,,,,,,
CUB,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,
CZE,,,,,,,,3.1,,,,,,,,,,2.6,,,,,,,,,,,,,,
DEU,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,
DJI,,,,,,28.0,,,,,,,31.7,,,,,,26.5,,,,32.6,,,,,,33.5,,,
DOM,,,20.4,,,,,21.2,,,,,13.9,,,,8.0,,11.7,,,,10.5,10.1,,,,,,7.1,,
DZA,,,,16.9,,,,,22.9,,,22.5,,,,,23.6,,23.3,,,15.9,,,,,,,11.7,,,
ECU,,,40.2,,,,,,,,,,,,32.5,,,,,,29.0,,,,,,,,25.2,,,
EGY,,,,,34.0,,,34.9,,31.3,,34.9,,30.9,26.3,,24.6,,,20.3,,23.8,,,30.7,,,,,,22.3,
ERI,,,,,,,,,,69.6,,47.8,,,,,,,43.7,,,,,,,,50.3,,,,,
ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETH,,,,,,,,,66.9,,,,,,,,57.4,,,,,50.7,,,,,,44.2,,,40.4,
FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJI,,,,,,,,,,4.3,,,,,,,,,,,7.5,,,,,,,,,,,
FRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,,,,,,,,,,,,,,,,,26.3,,,,,,,,,,,,17.5,,,
GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,,,,,,,,,,,,,,,,16.1,,,,,,14.7,,,,11.3,,,,,,
GER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHA,,,,,42.6,,,,,41.2,,,,,,31.3,,,,35.6,,,28.1,,28.6,,,22.7,,,18.8,
GIN,,,,,,,,,,,35.3,,,,,34.3,46.9,,,,,39.3,,40.0,,,,35.8,31.3,,,
GMB,,,,,,,,,,,,,36.1,,,,24.1,,,,,,27.6,,,,23.4,,,24.5,,
GNB,,,,,,,,,,,,,,,,,36.1,,,,,,47.7,,27.7,,32.2,,,,27.6,
GNQ,,,,,,,,,,,,,,38.7,,,42.6,,,,35.0,,,,,,26.2,,,,,
GTM,,,,66.2,,,,,,,,55.4,,,,53.1,50.0,,54.3,,,,,,,48.0,,,,,,
GUY,,,,,,,,,,,,,,14.0,,,13.8,,,,,,18.2,,,19.5,,,,,12.0,
HND,,,,43.3,,,,,42.5,,45.7,,38.6,,,,,34.5,,,,,29.9,,,,,,22.7,,,
HTI,,,,,,,40.1,,,,37.2,,,,,,28.3,,,,,,29.7,,,,,,21.9,,,
IDN,,,,,,,,,,,,48.1,,,,,42.4,41.6,,,28.6,,,40.1,,,39.2,,,36.4,,
IND,,,,,,62.7,,,61.9,57.7,,,,45.9,,54.2,,,,,,,47.9,,,,,,,,38.7,
IRN,,,,,,,,,,,,24.4,,,20.4,,,,,,7.1,,,,,,,6.8,,,,
IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRQ,,,,,,,,27.6,,,,,,,,,28.3,,,33.7,20.0,,27.5,,,,,22.6,,,,
ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,,,,,,12.4,,9.1,14.7,13.5,11.9,9.5,11.1,8.6,8.3,6.3,6.6,6.4,6.6,,4.5,,5.6,3.8,5.2,,4.8,,5.7,,,
JOR,,,,,,,20.5,,,,,,,11.1,,,,,12.0,,,,,,,8.3,,,7.8,,,
JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,
KAZ,,,,,,,,,,,,23.3,,,,13.9,,,,,,,17.5,,,,13.1,,,,,
KEN,,,,37.0,,,,,,40.2,39.8,,,,37.4,,41.0,,,35.8,,40.9,,,,35.2,,,,,26.0,
KGZ,,,,,,,,,,,,,,36.2,,,,,,,,,18.1,,,22.6,,,17.8,,12.9,
KHM,,,,,,,,,,,,,58.6,,,,49.2,,,,,43.7,,,39.5,,40.9,,,,32.4,
KIR,,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,2.5,,,,,
KWT,,,,,,,,,,,,,5.0,,,,,4.0,3.6,3.9,4.1,4.5,4.6,5.1,5.1,3.8,4.1,4.0,4.3,4.8,5.8,
LAO,,,,,,,,,,53.6,52.9,,,,,,48.2,,,,,,47.6,,,,,43.8,,,,
LBN,,,,,,,,,,,,,17.2,,,,,,,,16.5,,,,,,,,,,,
LBR,,,,,,,,,,,,,,,,,45.3,,,,,,,39.4,,,41.8,,,32.1,,
LBY,,,,,,,,,,,,21.1,,,,,,,,,,,,21.0,,,,,,,,
LCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,
LKA,,,,32.3,,,,,,29.7,,26.1,,,,,18.4,,,,,,,17.3,,19.2,,,14.7,,,
LSO,,,,,,,,,39.2,37.5,,,,,,,53.0,,,,45.2,,,,,39.0,,,,,33.2,
MAR,,,,34.5,,,,,29.9,,,,,29.0,,,,,,23.1,,,,,,,,14.9,,,,
MDA,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,,,6.4,,,
MDG,,,,,,,,,60.9,54.1,,55.2,,58.2,,,,,,,52.8,,,,,49.2,,,,,,
MDV,,,,,,,,,,,36.1,33.0,,46.7,,,,31.9,,,,,,,,20.3,,,,,,
MEX,,,,,28.7,26.0,,,,,,,25.8,,21.7,,,,,,,,15.5,,,,,,13.6,,,
MKD,,,,,,,,,,,,,,,,8.0,,,,,,11.5,,,,,,4.9,,,,
MLI,,,,35.8,,,,,,,,,39.9,,,,,42.7,,,,,38.5,,,,,,,,,
MMR,,,,,,,,53.6,,,58.7,,,55.4,,,40.8,,,40.6,,,,,,35.1,,,,,,
MNE,,,,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,9.4,,
MNG,,,,,,,,,33.1,,,,,,,30.1,29.8,,,,23.5,27.5,,,,,15.6,,,10.8,,
MOZ,,,,,,,,,,,,59.9,,48.7,,,,49.6,,47.0,,,,,43.7,,,43.1,,,,
MRT,,,,,40.2,,54.8,,,,,,49.8,,,,39.5,,,,,,,28.9,23.0,,,29.7,22.0,,,
MUS,,27.3,,,,,,,,,,13.6,,,,,,,,,,,,,,,,,,,,
MWI,,,,,,,,,55.8,,,53.8,,,63.6,,54.6,,,,52.5,,53.2,,,48.8,47.8,,,,42.4,
MYS,,,,,,,,,,,,,,,,20.7,,,,,,,17.2,,,,,,,,,
NAM,,,,,,,,,35.7,,,,,,,,29.5,,,,,,,29.6,,,,,,23.1,,
NER,,43.8,,,,,,,48.3,,,,,,50.7,,54.2,,,,,,54.8,,,,,,43.0,,,
NGA,,,,,,,50.5,,,43.8,,,,,,,,,,43.0,,,,42.8,41.0,,,36.0,,36.4,32.9,
NIC,,,,,,,,,,29.6,,,,,30.5,,,25.2,,,18.8,,23.0,,,,,,,,,
NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,,,,,,,,,,,,68.2,65.7,,61.1,,,57.1,,,,,49.3,,,,,40.5,,,37.4,
NRU,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,
OMN,,,,,,,,24.2,,,21.1,,,,,12.9,,,,,,,,,,9.8,,,,,,
PAK,,,62.5,,,,,54.5,42.7,,,,,,,,,41.5,,,,,,,,,,43.0,45.0,,,
PAN,,,,,,,,,,,,,,21.5,,,,,,22.2,,,,,19.1,,,,,,,
PER,,,,,,,,37.3,,,,,31.6,,,,31.3,,,,,29.8,,,28.2,23.9,23.3,19.6,18.4,17.5,,
PHL,,,,44.7,,,43.3,,40.9,38.9,,,,,38.3,,,,,33.8,,,,,32.3,,,33.6,,30.3,,
PNG,46.0,,,,,,,,,,,,,,,,,,,,,43.9,,,,,49.5,,,,,
PRK,,,,,,,,,,,,,,,63.9,,51.0,,44.7,,43.1,,,,,32.4,,,27.9,,,
PRY,,,,,,,18.3,,,,,,,,,,,,,,,17.5,,,,,,,10.9,,,
PSE,,,,,,,,,,,,,10.6,,,,,,16.1,,,,,11.8,,,10.9,,,,7.4,
QAT,,,,,,,,,,,,11.6,,,,,,,,,,,,,,,,,,,,
ROU,,,,,,,,11.2,,,,,,,,15.3,12.8,14.0,12.8,,,,,,,,,,,,,
RWA,,,,,,,,,56.8,,,,45.4,,,,48.3,,,,,51.7,,,,,44.3,,,,,37.9
SAU,,,,,,,,,,,21.4,,,,,,,,,,,9.3,,,,,,,,,,
SDN,,,,,,,,,,,,,,,,,,,,,,,38.3,,,,35.0,,,,38.2,
SEN,,,26.5,,,,,,34.4,33.7,,,28.8,,,,29.5,,,,,20.1,,,,,,28.7,15.5,19.2,19.4,
SGP,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,
SLB,,,,,,33.7,,,,,,,,,,,,,,,,,,32.8,,,,,,,,
SLE,,,,,,41.4,40.9,,,,,,,,,,38.4,,,,,46.9,,,37.4,,44.9,,,37.9,,
SLV,,,,,36.7,,,,,29.5,,,,,32.3,,,,,24.6,,,,,20.6,,,,,,14.0,
SOM,,,,,,,,,,,,,,,,,29.2,,,,,,42.1,,,25.9,,,,,,
SRB,,,,,,,,,,,,,,,,,,,,,,8.1,,,,,6.6,,,,6.0,
SSD,,,,,,,,,,,,,,,,,,,,,,,36.2,,,,31.1,,,,,
STP,,,32.0,,,,,,,,,,,,,,35.2,,,,,,28.9,,31.6,,,,,,,
SUR,,,,,,,,,,,,,,,,,14.5,,,,,,10.7,,,,8.8,,,,,
SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,,,,,,,,,,,,,,,,,36.6,,,,,,29.5,,40.4,,31.0,,,,25.5,
SYC,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,7.9,,,
SYR,,,,,,,,,,32.9,,26.5,,,,,24.3,31.1,,,,,28.6,,,27.5,,,,,,
TCD,,,,,,,,,,,,,,45.0,,,39.3,,,,44.8,,,,,,38.7,,,,,
TGO,,,,,40.7,,,,,,,,40.2,,33.2,,,,,,,,27.8,,26.9,,29.8,,,,27.5,
THA,,,,24.6,,,,,,21.1,,18.1,,,,,,,,,,,15.7,,,,,,16.3,,,
TJK,,,,,,,,,,,,,,,,41.5,42.1,43.2,37.1,42.4,,33.1,,39.2,,28.8,,,26.8,,,
TKM,,,,,,,,,,,,,,,,,28.1,,,,,,,,,,,,,,,
TLS,,,,,,,,,,,,,,,,,,,55.7,54.8,,,,53.9,,57.7,,,,,,
TON,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,,,
TTO,,,,6.3,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,
TUN,,,,,18.5,,,,,,,,,11.9,,,16.8,,,,,,9.0,,,,,,10.1,,,
TUR,,,,,,,,,,24.1,,,,,19.1,,,,,,15.6,,,,12.3,,,,,9.5,,
TUV,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,
TZA,,,,,,,,49.7,,,,,49.7,,,48.3,,,,,44.4,,,,,43.0,42.5,34.8,,37.1,34.7,
UGA,,,,,47.6,,,,,,,45.7,,,,,44.8,,,,,,38.7,,,,,33.7,34.2,,,
UKR,,,,,,,,,,,,,,,,,22.9,,3.7,,,,,,,,,,,,,
URY,,,,21.0,,,,,,,,,,,,12.8,,,14.7,15.8,13.9,,,10.8,,,,10.7,,,,
USA,,,,,,,,3.2,,,,,,,,,,3.3,,,,3.2,,,,2.7,,,2.1,,,
UZB,,,,,,,,,,,,,39.5,,,,,,25.3,,,,19.6,,,,,,,,,
VEN,,,,7.0,,,18.6,18.2,18.3,17.4,17.9,18.9,19.3,19.9,19.2,18.3,17.4,17.3,17.6,17.7,17.1,16.2,16.2,15.6,14.6,13.4,,,,,,
VNM,,,,,61.3,,,,,61.4,52.5,,,,42.1,43.7,43.4,,37.5,35.4,33.7,33.2,31.8,32.2,30.5,,29.3,23.3,,19.4,,
VUT,,,,,,,,,,,,,25.7,,,,,,,,,,,25.9,,,,,,28.5,,
WSM,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,
YEM,,,,,,,,52.4,,,,,50.4,59.3,,,,,,57.7,,,,,,,,46.6,,,46.5,
ZAF,,,,,,,,,,,31.5,28.7,,,,30.1,,,,,32.8,,,,23.9,,,,,,,
ZMB,,,,,,,,,46.4,,,58.1,48.6,,,57.9,,,52.5,,,,,45.8,,,,,,40.0,,
ZWE,,,,,31.0,,,,,,28.5,,,,,33.7,,,,,,35.8,,,,35.1,32.3,,,,27.6,